Source,Target,Type,Id,Label,Weight,background_map_edge
bckm_5,bckm_4,Undirected,213940,,1,true
AUX,PMW,Directed,1913,,2,
GYN,PMW,Directed,1914,,2,
BSB,PMW,Directed,1916,,3,
CGH,PMW,Directed,1920,,1,
GRU,PMW,Directed,1921,,2,
BRA,BSB,Directed,1923,,3,
OPS,BSB,Directed,1924,,1,
RAO,BSB,Directed,1925,,2,
MIA,BSB,Directed,1926,,3,
AUX,BSB,Directed,1927,,1,
CGB,BSB,Directed,1929,,5,
CNF,BSB,Directed,1930,,5,
GRU,BSB,Directed,1931,,5,
MAB,BSB,Directed,1932,,4,
PMW,BSB,Directed,1933,,3,
UDI,BSB,Directed,1934,,2,
VCP,BSB,Directed,1935,,4,
CDG,BSB,Directed,1936,,1,
CWB,BSB,Directed,1937,,5,
EZE,BSB,Directed,1938,,3,
PTY,BSB,Directed,1939,,1,
ATL,BSB,Directed,1940,,1,
BEL,BSB,Directed,1941,,3,
CGH,BSB,Directed,1943,,4,
CGR,BSB,Directed,1944,,4,
FOR,BSB,Directed,1947,,5,
GIG,BSB,Directed,1948,,4,
GYN,BSB,Directed,1950,,3,
IMP,BSB,Directed,1951,,3,
JPA,BSB,Directed,1952,,4,
MAO,BSB,Directed,1954,,3,
MCZ,BSB,Directed,1955,,4,
NAT,BSB,Directed,1956,,4,
POA,BSB,Directed,1958,,3,
PVH,BSB,Directed,1959,,3,
RBR,BSB,Directed,1960,,3,
REC,BSB,Directed,1961,,4,
SDU,BSB,Directed,1962,,4,
SLZ,BSB,Directed,1963,,3,
SSA,BSB,Directed,1964,,4,
THE,BSB,Directed,1965,,3,
FLN,BSB,Directed,1973,,3,
VIX,BSB,Directed,1996,,2,
AJU,BSB,Directed,1997,,3,
IOS,BSB,Directed,2007,,1,
JDO,BSB,Directed,2008,,1,
PNZ,BSB,Directed,2012,,1,
MQH,BSB,Directed,2016,,1,
LIS,BSB,Directed,2017,,1,
SJP,BSB,Directed,2021,,1,
SCL,BSB,Directed,2023,,1,
LIM,BSB,Directed,2024,,1,
STM,BSB,Directed,2027,,1,
BPS,BSB,Directed,2034,,2,
MCP,BSB,Directed,2048,,2,
IGU,BSB,Directed,2049,,1,
BVB,BSB,Directed,2056,,2,
PUJ,BSB,Directed,2062,,1,
BRA,SSA,Directed,2065,,3,
VDC,SSA,Directed,2066,,3,
MIA,SSA,Directed,2067,,4,
GNM,SSA,Directed,2068,,1,
AJU,SSA,Directed,2069,,4,
BPS,SSA,Directed,2070,,3,
CNF,SSA,Directed,2072,,3,
GRU,SSA,Directed,2073,,5,
IOS,SSA,Directed,2074,,3,
JPA,SSA,Directed,2075,,2,
LEC,SSA,Directed,2076,,1,
PAV,SSA,Directed,2077,,1,
REC,SSA,Directed,2078,,4,
VCP,SSA,Directed,2079,,1,
VIX,SSA,Directed,2081,,2,
FRA,SSA,Directed,2082,,1,
BSB,SSA,Directed,2085,,4,
CGH,SSA,Directed,2086,,4,
