Airline ID,Departure,Destination
2Z,BRA,BSB
2Z,BSB,OPS
2Z,CGB,GYN
2Z,CGB,OPS
2Z,CGR,DOU
2Z,DOU,CGR
2Z,GRU,DOU
2Z,GYN,CGB
2Z,OPS,BSB
2Z,OPS,CGB
2Z,PMW,GYN
2Z,RAO,BSB
2Z,RAO,GYN
2Z,UDI,GYN
AA,MIA,BSB
AD,AFL,CGB
AD,AUX,BSB
AD,BRA,BSB
AD,BSB,CGB
AD,BVH,CGB
AD,CGB,AFL
AD,CGB,BSB
AD,CGB,CGR
AD,CGB,GYN
AD,CGB,OPS
AD,CGB,ROO
AD,CGR,CGB
AD,CGR,CMG
AD,CMG,CGR
AD,CNF,BSB
AD,CNF,CGB
AD,CNF,GYN
AD,GRU,BSB
AD,GRU,CGB
AD,GRU,CGR
AD,GRU,GYN
AD,GYN,CGB
AD,JPR,CGB
AD,LDB,CGB
AD,MAB,BSB
AD,MGF,CGB
AD,OAL,CGB
AD,OPS,CGB
AD,PMW,BSB
AD,PMW,GYN
AD,PVH,CGB
AD,ROO,CGB
AD,SDU,GYN
AD,SJP,CGB
AD,UDI,BSB
AD,VCP,BSB
AD,VCP,BYO
AD,VCP,CGB
AD,VCP,CGR
AD,VCP,CLV
AD,VCP,DOU
AD,VCP,GYN
AD,VCP,RVD
AF,CDG,BSB
AF,CWB,BSB
AR,EZE,BSB
CM,PTY,BSB
DL,ATL,BSB
G3,BEL,BSB
G3,BSB,CGB
G3,BSB,CGR
G3,BSB,GYN
G3,CGB,BSB
G3,CGB,CGR
G3,CGH,BSB
G3,CGH,CGB
G3,CGH,CGR
G3,CGH,CLV
G3,CGH,GYN
G3,CGR,BSB
G3,CGR,CGB
G3,CNF,BSB
G3,CNF,GYN
G3,CWB,BSB
G3,FOR,BSB
G3,GIG,BSB
G3,GIG,CGB
G3,GIG,CGR
G3,GIG,GYN
G3,GRU,BSB
G3,GRU,CGB
G3,GRU,CGR
G3,GRU,GYN
G3,GYN,BSB
G3,IMP,BSB
G3,JPA,BSB
G3,MAB,BSB
G3,MAO,BSB
G3,MCZ,BSB
G3,MGF,CGR
G3,NAT,BSB
G3,PMW,BSB
G3,POA,BSB
G3,PVH,BSB
G3,PVH,CGB
G3,RBR,BSB
G3,REC,BSB
G3,SDU,BSB
G3,SLZ,BSB
G3,SSA,BSB
G3,THE,BSB
G3,VCP,BSB
JJ,BEL,BSB
JJ,BSB,CGB
JJ,BSB,CGR
JJ,BSB,GYN
JJ,CGB,BSB
JJ,CGH,BSB
JJ,CGH,CGB
JJ,CGH,CGR
JJ,CGH,GYN
JJ,CGR,BSB
JJ,CNF,BSB
JJ,CWB,BSB
JJ,FLN,BSB
JJ,FOR,BSB
JJ,GIG,BSB
JJ,GRU,BSB
JJ,GRU,CGB
JJ,GRU,CGR
JJ,GRU,GYN
JJ,GYN,BSB
JJ,IMP,BSB
JJ,JPA,BSB
JJ,MAB,BSB
JJ,MAO,BSB
JJ,MCZ,BSB
JJ,MIA,BSB
JJ,NAT,BSB
JJ,PMW,BSB
JJ,POA,BSB
JJ,PVH,BSB
JJ,RBR,BSB
JJ,REC,BSB
JJ,SDU,BSB
JJ,SLZ,BSB
JJ,SSA,BSB
JJ,THE,BSB
JJ,UDI,BSB
JJ,VCP,BSB
JJ,VIX,BSB
O6,AJU,BSB
O6,BSB,CGB
O6,BSB,CGR
O6,CGB,BSB
O6,CGB,CGR
O6,CGH,BSB
O6,CGR,BSB
O6,CGR,CGB
O6,CNF,BSB
O6,CWB,BSB
O6,CWB,CGR
O6,FLN,BSB
O6,FOR,BSB
O6,GIG,BSB
O6,GRU,BSB
O6,GRU,CGB
O6,IOS,BSB
O6,JDO,BSB
O6,JPA,BSB
O6,MCZ,BSB
O6,NAT,BSB
O6,PNZ,BSB
O6,PVH,CGB
O6,REC,BSB
O6,SDU,BSB
O6,SSA,BSB
S5,BSB,GYN
S5,MQH,BSB
TP,LIS,BSB
US,MIA,BSB
Y8,BRA,BSB
Y8,CGB,GYN
Y8,GYN,CGB
Y8,JPR,CGB
Y8,RAO,BSB
Y8,RAO,GYN
Y8,SJP,BSB
Y8,UDI,GYN
A7,GUB,GYN
AD,BEL,CGB
